id	reasoning	on_target	sentiment_score
0	Reform members are compared to 'wild animals' by a third party — this characterises Reform's members negatively. Assess target is Reform.	1	-0.5
1	Plaid Cymru councillor is speaking/quoting, criticising Reform's actions. Plaid is the speaker, not the subject of judgement.	0	0.0
2	Reform UK's head of policy is described as having 'launched a culture war' — this characterises Reform's actions negatively.	1	-1.0
3	Reform is described as 'not welcome' at Bangor University; the framing is factual reporting of a society statement rather than a direct editorial judgement on Reform.	1	-0.5
4	A Reform MP is described as having been 'forced to apologise' for a racist statement, and Reform's representative is labelled 'Racist' in scare quotes. This frames Reform's character negatively.	1	-1.0
5	Reform member is quoted threatening to defund a university, and the broader context includes 'racist' labelling. Reform is framed unfavourably.	1	-0.5
6	The sentence is Reform's own spokesperson speaking. However in context, the framing juxtaposes it with 'racist's money', associating Reform with racism. The judgment targets Reform's character.	1	-1.0
7	Reform is described as 'not fit to govern' — a direct negative judgement of their competence.	1	-1.0
8	Reform is targeted: described as 'petty authoritarianism', led by a 'racist', 'toxic party', compared to Trump; direct negative characterisation.	1	-1.0
9	Fake accounts are described as targeting Plaid Cymru with anti-Plaid sentiment. Plaid is the victim, not negatively judged.	0	0.0
10	Plaid is being falsely linked to a threatening statement with 'no evidence' by a right-leaning account. Plaid's reputation is being smeared, but the text reports this critically; Plaid is not editorially judged negatively.	0	0.0
11	Plaid is mentioned as a target of attack posts. The page attacks Plaid but the article reports it. Plaid is not being editorially judged here.	0	0.0
12	Reform is the target: fake account created to stir anti-Welsh rhetoric specifically targeting Reform UK's leader. Context describes inflammatory/threatening content linked to Reform territory. Reform is not directly judged by the article, but the framing around fake accounts stirs division — Reform is not being characterised negatively by the editorial voice here. Assess target is Reform.	0	0.0
13	Farage is described as making 'sneaky comments' in 'a pathetic attempt at concealing his true intentions' — strong negative characterisation of Farage. Assess target is Reform (via Farage as Reform's leader).	1	-1.0
14	Reform is the assess target. Context says a right-leaning Reform-supporting account spread misinformation linking Plaid to threats. The sentence merely reports the fake account activity. No direct negative judgment on Reform by editorial voice in this sentence/context.	0	0.0
15	Reform is the assess target. Context describes a pro-Reform page attacking Plaid. The text describes the page's content but does not itself negatively judge Reform.	0	0.0
16	Assess target is Reform (Dan Thomas). The horrific comment about burning down his home is reported as said by a fake account — Dan Thomas is the victim mentioned. Not a negative judgment of Reform.	0	0.0
17	Plaid is described as 'looking to starve Newport of funding' — a direct negative characterisation of Plaid's policy intentions.	1	-0.5
18	Plaid is positively framed — Plaid 'stepped in to do the right thing'. The Labour politician is criticised, not Plaid.	1	0.5
19	The council leader claims Plaid's candidate is not fighting for Newport. This is a negative judgement of Plaid's representative's competence/priorities.	1	-0.5
20	Plaid is positively framed — 'Plaid Cymru stepped in to rescue local government from a catastrophic Labour draft budget'. Plaid is praised for effective action.	1	0.5
21	Assess target is Reform (Dan Thomas). He is quoted questioning why former Reform colleagues created the account — he is speaking, not being judged editorially.	0	0.0
22	Reform is described as 'full of hypocrites who have no principles' — direct strong negative characterisation.	1	-1.0
23	Farage's appointment is 'condemned as a huge insult', and Reform is described as led by someone with no Welsh ties — strong negative framing of Reform.	1	-1.0
24	Reform is condemned as a 'huge insult to Wales', and Farage is described as showing contempt. Assess target Reform.	1	-1.0
25	Assess target Farage. He is characterised as showing contempt for Wales, imposing a puppet leader. Strongly negative.	1	-1.0
