url	title	publish_date	authors	party	group	match	sentence	context	year	article_type	bias_label	bias_confidence	is_biased
https://nation.cymru/news/former-senedd-colleagues-face-off-in-vicious-social-media-spat-over-welsh-reform-leaders-links-to-london/	Former Senedd colleagues face off in vicious social media spat over Welsh Reform leader’s links to London	2026-02-10 20:06:09	Emily Price	reform_uk	right	Reform	“As Conservatives we try to always hold a strong sense of professionalism and decency – in person and on social media – but some Reform members are like wild animals.” Laura Anne Jones was invited to respond to her former colleague’s comments but she did not respond.	“However, Laura has abused everyones kindness, she’s made enough offensive comments and frankly she would do better to focus on her constituents who rarely hear back from her – a complaint I regularly get.” In another post about Jones, Asghar wrote: “Senedd elections are on 7th May too and frankly this sort of lame behaviour is just unbecoming and deplorable. “As Conservatives we try to always hold a strong sense of professionalism and decency – in person and on social media – but some Reform members are like wild animals.” Laura Anne Jones was invited to respond to her former colleague’s comments but she did not respond. Natasha Asghar told Nation.Cymru: “The day I start taking advice or paying any real attention to criticism from someone like Laura Anne Jones is the day hell freezes over.	2026	news	biased	0.6156949996948242	1
https://nation.cymru/news/uproar-as-reform-policy-chief-threatens-to-defund-welsh-university/	Uproar as Reform policy chief threatens to defund Welsh university	2026-02-10 12:48:14	Mark Mansfield	plaid_cymru	left	Plaid	“Threatening to withhold funding while showing zero grasp of the institution’s origins or philosophical tradition only underlines why the far right is a threat to our Welsh way of life.” Plaid Cymru councillor Gareth Parry, from Bangor, wrote: “@ZiaYusufUK threatening Welsh universities for their student debating socs making their own decisions?	This is the UK in 2026, not Italy in 1922 or Germany in 1933.” Rhys Llwyd wrote: “As a Bangor PhD graduate, I fully support the decision. “Threatening to withhold funding while showing zero grasp of the institution’s origins or philosophical tradition only underlines why the far right is a threat to our Welsh way of life.” Plaid Cymru councillor Gareth Parry, from Bangor, wrote: “@ZiaYusufUK threatening Welsh universities for their student debating socs making their own decisions? That’s not patriotism.	2026	news	biased	0.8731051087379456	1
https://nation.cymru/news/uproar-as-reform-policy-chief-threatens-to-defund-welsh-university/	Uproar as Reform policy chief threatens to defund Welsh university	2026-02-10 12:48:14	Mark Mansfield	reform_uk	right	Reform	Photo Ben Whitley/PA Wire Martin Shipton Reform UK’s head of policy Zia Yusuf launched a culture war in Wales by threatening to withhold funding from Bangor University after its student debating society refused to host two leading figures from his party.	Reform UK’s Zia Yusuf. Photo Ben Whitley/PA Wire Martin Shipton Reform UK’s head of policy Zia Yusuf launched a culture war in Wales by threatening to withhold funding from Bangor University after its student debating society refused to host two leading figures from his party. Under the heading “Reform UK are not welcome at Bangor University”, the university’s Debating and Political Society issued a statement that said: “The Debating and Political Society received a request from Jack Anderton and Sarah Pochin MP of Reform UK to attend Bangor University and give a Q&A to students.	2026	news	biased	0.9363754987716675	1
https://nation.cymru/news/uproar-as-reform-policy-chief-threatens-to-defund-welsh-university/	Uproar as Reform policy chief threatens to defund Welsh university	2026-02-10 12:48:14	Mark Mansfield	reform_uk	right	Reform	Under the heading “Reform UK are not welcome at Bangor University”, the university’s Debating and Political Society issued a statement that said: “The Debating and Political Society received a request from Jack Anderton and Sarah Pochin MP of Reform UK to attend Bangor University and give a Q&A to students.	Photo Ben Whitley/PA Wire Martin Shipton Reform UK’s head of policy Zia Yusuf launched a culture war in Wales by threatening to withhold funding from Bangor University after its student debating society refused to host two leading figures from his party. Under the heading “Reform UK are not welcome at Bangor University”, the university’s Debating and Political Society issued a statement that said: “The Debating and Political Society received a request from Jack Anderton and Sarah Pochin MP of Reform UK to attend Bangor University and give a Q&A to students. In line with our values, this request was refused.	2026	news	biased	0.9490879774093628	1
https://nation.cymru/news/uproar-as-reform-policy-chief-threatens-to-defund-welsh-university/	Uproar as Reform policy chief threatens to defund Welsh university	2026-02-10 12:48:14	Mark Mansfield	reform_uk	right	Reform	She was forced to apologise after stating: “It drives me mad when I see adverts full of black people, full of Asian people.” ‘Racist’ Yusuf responded to the debating society with an angry post on X that said: “Bangor University have [sic] banned Reform and called us ‘racist, transphobic and homophobic’.	Sarah Pochin won the Runcorn and Helsby by-election in May 2025, taking the seat from Labour by six votes. She was forced to apologise after stating: “It drives me mad when I see adverts full of black people, full of Asian people.” ‘Racist’ Yusuf responded to the debating society with an angry post on X that said: “Bangor University have [sic] banned Reform and called us ‘racist, transphobic and homophobic’. “Bangor receives £30 million in state funding a year, much of which comes from Reform-voting taxpayers.	2026	news	biased	0.7342192530632019	1
https://nation.cymru/news/uproar-as-reform-policy-chief-threatens-to-defund-welsh-university/	Uproar as Reform policy chief threatens to defund Welsh university	2026-02-10 12:48:14	Mark Mansfield	reform_uk	right	Reform	“Bangor receives £30 million in state funding a year, much of which comes from Reform-voting taxpayers.	She was forced to apologise after stating: “It drives me mad when I see adverts full of black people, full of Asian people.” ‘Racist’ Yusuf responded to the debating society with an angry post on X that said: “Bangor University have [sic] banned Reform and called us ‘racist, transphobic and homophobic’. “Bangor receives £30 million in state funding a year, much of which comes from Reform-voting taxpayers. I am sure they won’t mind losing every penny of that state funding under a Reform government.	2026	news	biased	0.8606709837913513	1
https://nation.cymru/news/uproar-as-reform-policy-chief-threatens-to-defund-welsh-university/	Uproar as Reform policy chief threatens to defund Welsh university	2026-02-10 12:48:14	Mark Mansfield	reform_uk	right	Reform	I am sure they won’t mind losing every penny of that state funding under a Reform government.	“Bangor receives £30 million in state funding a year, much of which comes from Reform-voting taxpayers. I am sure they won’t mind losing every penny of that state funding under a Reform government. After all, they wouldn’t want a racist’s money, would they?” For many, Yusuf’s comments evoked comparisons with the behaviour of President Trump in the US, who has sought to defund what he regards as left-wing universities, including some of the most iconic like Harvard in Cambridge, Massachusetts and Columbia University in New York.	2026	news	biased	0.8473228216171265	1
https://nation.cymru/news/uproar-as-reform-policy-chief-threatens-to-defund-welsh-university/	Uproar as Reform policy chief threatens to defund Welsh university	2026-02-10 12:48:14	Mark Mansfield	reform_uk	right	Reform	That’s petty authoritarianism with a Union Jack filter.” Somebody with the handle lunaperla wrote: “Just a man who’s never been elected to anything threatening to defund a university because he’s too stupid to know the difference between the university and a student organisation.” Huw L Williams wrote: “We’re so far gone that people can’t conceive of the fact that some legitimately regard a toxic party led by a racist who is adjacent to Trump as being beyond the pale – and the fact that they have a handful of MPs does not give them some form of immunity from moral opprobrium.” ‘Nazi vibes’ Sam Smith-Higgins wrote: “Quite the statement from Reform.	That’s not patriotism. That’s petty authoritarianism with a Union Jack filter.” Somebody with the handle lunaperla wrote: “Just a man who’s never been elected to anything threatening to defund a university because he’s too stupid to know the difference between the university and a student organisation.” Huw L Williams wrote: “We’re so far gone that people can’t conceive of the fact that some legitimately regard a toxic party led by a racist who is adjacent to Trump as being beyond the pale – and the fact that they have a handful of MPs does not give them some form of immunity from moral opprobrium.” ‘Nazi vibes’ Sam Smith-Higgins wrote: “Quite the statement from Reform. A Reform Gov.	2026	news	biased	0.9836481213569641	1
https://nation.cymru/news/uproar-as-reform-policy-chief-threatens-to-defund-welsh-university/	Uproar as Reform policy chief threatens to defund Welsh university	2026-02-10 12:48:14	Mark Mansfield	reform_uk	right	Reform	Reform’s comments show they are not fit to govern.”	It was founded through the efforts and sacrifices of the quarrymen of this area, and it remains a source of pride and opportunity for generations of local people.” “Bullying and threatening higher education institutions, in the style we have seen elsewhere, is entirely disgraceful and completely at odds with our values here in Wales. Reform’s comments show they are not fit to govern.”	2026	news	biased	0.9551631808280945	1
https://nation.cymru/news/fake-facebook-accounts-set-up-to-stir-division-ahead-of-senedd-election/	‘Fake’ Facebook accounts set up to stir division ahead of Senedd election	2026-02-10 12:45:43	Stephen Price	plaid_cymru	left	Plaid	The fake account with ‘AI slop’ imagery attributed to ‘Steph Jenkins’ which activists claim was created to stoke anti-Plaid sentiment Stephen Price A campaign group has uncovered evidence of a number of ‘fake’ Facebook accounts which have been set up to stir up anti-Welsh rhetoric ahead of the upcoming Senedd election – specifically targeting Plaid Cymru and the Senedd.	The fake account with ‘AI slop’ imagery attributed to ‘Steph Jenkins’ which activists claim was created to stoke anti-Plaid sentiment Stephen Price A campaign group has uncovered evidence of a number of ‘fake’ Facebook accounts which have been set up to stir up anti-Welsh rhetoric ahead of the upcoming Senedd election – specifically targeting Plaid Cymru and the Senedd. In a post shared on Reject Reform in Cymru’s Facebook page concerning Dan Thomas, Reform UK’s new leader in Wales, an account under the name of ‘Steph Jenkins’ wrote: “We will find his second home and burn it down with his his (sic.) family inside, I’ll bring the marshmallows.” Having seen a growing number of such comments over the past few months coming from recently-created accounts with few friends, questionable locations and no photos, Mudiad Eryr Wen, a campaign group focused on preserving Welsh language and culture in Wales , quickly aimed to verify the owner of the account, and discovered that the account was created in January 2026.	2026	news	biased	0.7149387001991272	1
