id	reasoning	on_target	sentiment_score	sentiment_ció
0	Reform is being characterised as engaging in 'fearmongering' — a negative characterisation of the party's behaviour, even though the primary attack is on Labour. Reform's actions are being judged negatively.	1	-0.5	
1	Reform is described as having been 'defeated' and implicitly contrasted with 'progressive parties', framing Reform negatively as a non-progressive force that lost.	1	-0.5	
2	Reform is characterised as a force that would bring 'chaos' to Wales, and accused of blaming foreigners — strongly negative characterisation of the party.	1	-1.0	
3	A senior Reform figure (Farage's comms lead) is described using an offensive slur against a journalist, and the context raises questions about Reform's lack of Welsh leadership. This reflects negatively on Reform.	1	-1.0	
4	Reform is accused of 'manipulation', trying to 'divide people with a toxic divide' and poisoning politics — strongly negative characterisation.	1	-1.0	
5	The sentence describes Reform UK's policy positions (ditching net zero, maximising oil/gas extraction) in a neutral, factual manner. No explicit negative or positive framing of Reform is present beyond quoting their policy stance.	1	0.0	
6	The text reports on Farage platforming a convicted criminal and comparing the UK to North Korea. Reform is implicitly associated with a person who made racist remarks. This is negatively framed for Reform.	1	-1.0	
7	Reform's campaign is explicitly described as 'xenophobic', and said to have made Ukrainian refugees feel unwanted. This is a strongly negative characterisation of the party.	1	-1.0	
8	The sentence describes concern about a Reform councillor's alleged actions regarding Llandudno Town Hall, with the implicit criticism being lack of transparency. Reform is being assessed negatively though mildly.	1	-0.5	
9	Welsh Labour characterises Reform as 'led by Tories' who have 'jumped ship to save their own skins' — a negative framing of Reform as opportunistic and inauthentic.	1	-0.5	
10	Farage's announcement is described as having 'fallen apart within about ten minutes' due to forgetting about EU citizens — Reform/Farage is portrayed as incompetent and poorly prepared.	1	-1.0	
11	Reform is described as 'a retirement home for Conservatives worried about losing their seats', characterising the party as opportunistic and lacking genuine ideological purpose.	1	-1.0	
12	A 'notorious far-right extremist and Tommy Robinson ally' is photographed at a Reform candidate's office — strongly negative association for Reform.	1	-1.0	
13	Reform is speaking here — the sentence presents Reform's own stated position on women's safety and censorship. Reform is the speaker, not being judged.	0	0.0	
14	Reform is mentioned in polling data showing them at 29%, close behind Plaid. This is a neutral factual statement about polling figures with no explicit positive or negative framing of Reform.	1	0.0	
15	Reform failed to provide an explanation for not appearing at a BBC debate. This reflects negatively on Reform's engagement and accountability.	1	-0.5	
16	Reform is described as sending 'misleading' letters using a handwritten font to appear as if from a local resident — negative framing of Reform's campaigning tactics as deceptive.	1	-1.0	
17	An internal Reform source describes the Caerphilly campaign as 'an embarrassment', a 'comms and management disaster', and a 'cock up' — strongly negative assessment of Reform's own internal operations.	1	-1.0	
18	Nigel Farage (Reform leader) is grouped with Tommy Robinson as a 'far-right' figure who operates 'just on the borderline' of illegal activity — strongly negative characterisation of Reform.	1	-1.0	
19	Reform and Farage are framed as something to be 'stood up to', implying they are a threat to tolerance, rule of law and fairness. This is a negative characterisation of Reform.	1	-1.0	
20	The sentence mentions Starmer 'pandering to Farage' — this is primarily a criticism of Labour/Starmer. Reform/Farage is mentioned but the judgment targets Labour, not Reform.	0	0.0	
21	The sentence describes Farage comparing a situation to Canadian politics in a neutral, factual manner. No explicit positive or negative judgment is made about Reform.	0	0.0	
22	Plaid MS describes Reform as offering 'empty headlines and nonsensical policies' — a negative characterisation of Reform's policy substance.	1	-1.0	
23	Reform UK is described as 'unjustly smearing' a social media user and accusing him of 'complicity with rape gangs' — strongly negative characterisation of Reform's conduct.	1	-1.0	
